epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,343.452,0.92732,0.52849,0.83159,0.88093,0.80168,0.84463,0.5542,1.58889,0.81296,0.86714,0.0003326,0.0003326,0.0003326
157,345.607,0.88295,0.52086,0.82572,0.89072,0.80904,0.84883,0.55883,1.59257,0.80966,0.86511,0.000325526,0.000325526,0.000325526
158,347.844,0.91669,0.52488,0.82691,0.88499,0.81792,0.84682,0.56076,1.58706,0.79679,0.86121,0.000318453,0.000318453,0.000318453
159,349.941,0.93284,0.53148,0.83007,0.88479,0.81896,0.84957,0.55965,1.59451,0.79194,0.86469,0.000311379,0.000311379,0.000311379
160,352.174,0.90948,0.52244,0.8322,0.87728,0.82213,0.84911,0.55141,1.63304,0.80402,0.86538,0.000304306,0.000304306,0.000304306
161,354.405,0.92492,0.52536,0.82937,0.87777,0.8141,0.84952,0.54135,1.68879,0.81885,0.868,0.000297232,0.000297232,0.000297232
162,356.712,0.91496,0.52357,0.81979,0.87387,0.82877,0.85846,0.56283,1.58273,0.80135,0.85924,0.000290158,0.000290158,0.000290158
163,358.666,0.93599,0.52253,0.83225,0.88296,0.81761,0.85956,0.56465,1.57928,0.79732,0.85911,0.000283085,0.000283085,0.000283085
164,360.783,0.92434,0.52326,0.8201,0.87693,0.8265,0.85339,0.55299,1.58901,0.79966,0.85721,0.000276011,0.000276011,0.000276011
165,362.985,0.90918,0.52502,0.82264,0.87659,0.8282,0.85643,0.54946,1.59654,0.80568,0.8574,0.000268938,0.000268938,0.000268938
166,365.215,0.92474,0.52859,0.83132,0.89155,0.81928,0.85781,0.54359,1.62011,0.79583,0.85681,0.000261864,0.000261864,0.000261864
167,367.352,0.9206,0.529,0.8326,0.89594,0.82149,0.8589,0.55298,1.61969,0.78589,0.85551,0.000254791,0.000254791,0.000254791
168,369.306,0.94258,0.52795,0.82291,0.88239,0.81312,0.85749,0.55376,1.60581,0.78601,0.86395,0.000247717,0.000247717,0.000247717
169,371.492,0.87444,0.50017,0.82497,0.90213,0.80803,0.8554,0.56141,1.56174,0.78582,0.85791,0.000240644,0.000240644,0.000240644
170,373.753,0.91416,0.51376,0.83349,0.87907,0.83266,0.8625,0.5632,1.57294,0.78617,0.85048,0.00023357,0.00023357,0.00023357
171,375.874,0.87072,0.50887,0.81993,0.88011,0.83145,0.86087,0.56148,1.58438,0.78944,0.85041,0.000226497,0.000226497,0.000226497
172,378.094,0.93692,0.51326,0.824,0.87993,0.82281,0.8513,0.56953,1.55104,0.78738,0.85488,0.000219423,0.000219423,0.000219423
173,380.247,0.9091,0.51206,0.82172,0.87374,0.82871,0.85081,0.56394,1.5572,0.79183,0.85701,0.000212349,0.000212349,0.000212349
174,382.5,0.84324,0.49692,0.81586,0.88713,0.81624,0.85376,0.55356,1.60099,0.78606,0.85803,0.000205276,0.000205276,0.000205276
175,384.589,0.89453,0.50972,0.82219,0.87214,0.82801,0.8516,0.56038,1.58838,0.77959,0.85659,0.000198202,0.000198202,0.000198202
176,386.736,0.92561,0.51514,0.8318,0.88752,0.82806,0.85126,0.56894,1.54123,0.76808,0.85692,0.000191129,0.000191129,0.000191129
